URL,Keyword,Clicks,Impressions,CTR,Position
https://mbt.com.vn/tin-tuc/day-chuyen-san-xuat-may-bien-ap-cong-nghe-cua-mbt?ios=ph%C6%B0%C6%A1ng%20m%E1%BB%B9%20chi%20sex,sex phương mỹ chi,12,51,0.23529411764705882,4.882352941176471
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?keyword=phim%20sex%20%C4%91%E1%BB%8Bt%20nhau%20kh%C3%B4ng%20che,phim sex không che,11,55,0.2,5.3090909090909095
https://mbt.com.vn/tin-tuc/recloser-va-lbs-nen-chon-dung-loai-nao?game=phim%20sex%20hay.%20com,phimsexhay,11,78,0.14102564102564102,4.333333333333334
https://mbt.com.vn/?produc_id=sex%20g%C3%A2y,sex gây,11,73,0.1506849315068493,3.2739726027397262
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?bet=phim%20sex%20my,sex my,11,123,0.08943089430894309,5.170731707317073
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?top=clipsexviet,clipsexviet.icu,10,154,0.06493506493506493,3.2467532467532467
https://mbt.com.vn/?hot=link%20sex%20vn,linksex vn,10,100,0.1,4.29
https://mbt.com.vn/tin-tuc/recloser-va-lbs-nen-chon-dung-loai-nao?video=phim%20sex%20g%C3%A1i%20xinh%20%C4%91%E1%BA%B9p,phim sex gái xinh,10,66,0.15151515151515152,6.166666666666667
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?play=phim%20sex%20em%20gai%20xinh,sex gai xinh,10,71,0.14084507042253522,5.070422535211268
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?produc_id=phim%20sex%20jav%20m%E1%BB%9Bi%20nh%E1%BA%A5t,sex jav,10,513,0.01949317738791423,6.738791423001949
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?produc_id=sex%20jav,sex jav,10,80,0.125,4.5625
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?play=sex%20my,sex my,10,147,0.06802721088435375,4.4897959183673475
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?hot=xemphimsex,xemphimsex,10,46,0.21739130434782608,5.065217391304348
https://mbt.com.vn/tin-tuc/tuyen-sale-%E2%80%93-kenh-du-an-b2b?hot=xemphimsex%20trung%20qu%E1%BB%91c,xemphimsex,10,63,0.15873015873015872,3.1904761904761907
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?top=phim%20sexy%20c%E1%BB%A7a%20m%E1%BB%B9,phim sexy,9,150,0.06,9.08
https://mbt.com.vn/tin-tuc/catalogue-may-bien-ap-mbt?produc_id=sex%20%C3%A2u,sex au,9,262,0.03435114503816794,6.549618320610687
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?game=phim%20sex%20%C3%A2u%20m%E1%BB%B9%20m%E1%BB%9Bi,sex au,9,149,0.06040268456375839,8.033557046979865
